chr	windowStart	windowEnd	D	f_d	f_dM
chr2L	21722428	21724163	0.135683	0.196818	0.175951
chr2L	21724219	21727052	-0.010843	-0.013676	-0.007860
chr2L	21727263	21729660	-0.308251	-0.496953	-0.247132
chr2L	21729668	21731151	-0.331727	-1.993528	-0.372767
chr2L	21731249	21733452	0.517870	0.392991	0.257851
chr2L	21733484	21734328	-0.382898	-2.787393	-0.556048
chr2L	21734453	21736355	0.470034	0.409473	0.291288
chr2L	21736361	21737830	-0.102007	-0.233371	-0.078220
chr2L	21737946	21740756	0.716187	0.631618	0.548593
chr2L	21740993	21742888	0.512239	0.286035	0.265612
chr2L	21743079	21745942	-0.557898	-16.276224	-0.491231
chr2L	21746035	21749521	-0.261052	-0.432691	-0.157143
chr2L	21749841	21751465	0.137443	0.139132	0.112645
chr2L	21751477	21753890	0.506983	0.979865	0.141516
chr2L	21753946	21756039	0.420417	0.441182	0.322584
chr2L	21756048	21758650	-0.009859	-0.010763	-0.007227
chr2L	21758693	21761975	0.036356	0.058515	0.028589
chr2L	21761985	21763306	-0.235587	-0.552003	-0.238126
chr2L	21763555	21765240	-0.157013	-0.582847	-0.147764
chr2L	21765255	21768670	0.013369	0.020225	0.006600
chr2L	21768700	21771172	0.542221	0.629885	0.475303
chr2L	21771205	21774147	-0.227901	-0.377656	-0.159121
chr2L	21774169	21776623	0.014995	0.021536	0.011022
chr2L	21776646	21779626	0.184194	0.151082	0.105470
chr2L	21779673	21781883	-0.100082	-0.061605	-0.036606
chr2L	21782018	21785370	0.514108	0.312569	0.225243
chr2L	21785469	21788328	-0.211378	-0.193277	-0.072404
chr2L	21788331	21790919	0.301081	0.166026	0.122296
chr2L	21790938	21794358	-0.064329	-0.049858	-0.027765
chr2L	21794643	21796930	0.149931	0.312154	0.081952
chr2L	21797435	21800045	-0.329278	-0.561134	-0.207803
chr2L	21800074	21802175	0.114630	0.064746	0.034354
chr2L	21802177	21804949	0.059727	0.076840	0.028404
chr2L	21805022	21806726	-0.080913	-0.131047	-0.082432
chr2L	21806975	21809916	0.124516	0.325222	0.129929
chr2L	21809941	21811957	-0.361490	-0.601189	-0.295089
chr2L	21812248	21814866	-0.250007	-0.459939	-0.171292
chr2L	21815011	21817213	0.170030	0.141730	0.116683
chr2L	21817278	21819665	0.167097	0.119239	0.093724
chr2L	21819680	21822578	0.048042	0.056580	0.035591
chr2L	21822643	21826029	0.190025	0.220308	0.173551
chr2L	21826073	21827298	-0.161924	-0.204802	-0.148596
chr2L	21827364	21830195	-0.134124	-0.179843	-0.122086
chr2L	21830763	21833246	0.228929	0.159075	0.147017
chr2L	21833318	21837172	-0.207787	-0.347056	-0.197431
chr2L	21837212	21838577	0.148698	0.175741	0.144476
chr2L	21838644	21841349	0.255233	0.431392	0.278228
chr2L	21841359	21843692	0.096659	0.081859	0.054627
chr2L	21843909	21846092	-0.176842	-0.235952	-0.105706
chr2L	21846103	21847382	0.242143	0.283151	0.222197
chr2L	21847483	21849229	-0.005546	-0.022791	-0.013816
chr2L	21849353	21852304	-0.257674	-0.220637	-0.145739
chr2L	21852416	21854733	-0.040753	-0.063388	-0.047172
chr2L	21854790	21857354	-0.000162	-0.000204	-0.000144
chr2L	21857389	21859363	0.162700	0.284552	0.198106
chr2L	21859790	21861365	0.203455	0.279672	0.214225
chr2L	21861434	21863637	0.181897	0.286936	0.199056
chr2L	21863703	21865809	0.321961	0.319902	0.257273
chr2L	21865818	21867481	0.021795	0.017849	0.011020
chr2L	21867517	21869399	0.224980	0.185376	0.159647
chr2L	21869433	21870794	0.126283	0.174511	0.142099
chr2L	21870821	21872782	-0.058080	-0.082027	-0.051832
chr2L	21873040	21875210	0.191319	0.322421	0.202472
chr2L	21875213	21877679	-0.160530	-0.343688	-0.185955
chr2L	21877693	21878681	0.125276	0.250299	0.125203
chr2L	21878705	21880212	-0.148127	-0.458910	-0.166150
chr2L	21880245	21881895	0.133762	0.158096	0.119606
chr2L	21881913	21883619	0.207451	0.253579	0.160976
chr2L	21883797	21884878	0.136264	0.253002	0.156110
chr2L	21884910	21886394	0.187883	0.328080	0.239805
chr2L	21886417	21888712	0.260990	0.255899	0.221981
chr2L	21888764	21891131	-0.005478	-0.010042	-0.003203
chr2L	21891222	21893827	-0.240019	-0.162673	-0.093518
chr2L	21893852	21895621	0.289882	0.517218	0.357568
chr2L	21895649	21897893	-0.008876	-0.010488	-0.006719
chr2L	21897909	21899191	0.027583	0.026558	0.020086
chr2L	21899559	21900856	-0.373879	-0.472017	-0.274717
chr2L	21900921	21902969	-0.127886	-0.160902	-0.109211
chr2L	21902999	21905038	0.057963	0.072691	0.042287
chr2L	21905130	21907216	0.254745	0.198402	0.145664
chr2L	21907666	21909570	-0.059472	-0.125804	-0.060487
chr2L	21909844	21911496	-0.389763	-1.718633	-0.458635
chr2L	21911534	21912379	-0.267220	-0.429084	-0.217077
chr2L	21912381	21913056	-0.327098	-0.695923	-0.297058
chr2L	21913133	21914751	0.213679	0.218095	0.127972
chr2L	21914788	21916293	-0.150394	-0.170440	-0.099669
chr2L	21916384	21918567	0.100100	0.113192	0.057579
chr2L	21918578	21921053	0.169022	0.152641	0.100461
chr2L	21921151	21923390	-0.365005	-1.724943	-0.326839
chr2L	21923402	21926323	-0.222424	-0.258718	-0.156136
chr2L	21926336	21927935	-0.068890	-0.092850	-0.047530
chr2L	21927939	21929213	-0.178078	-0.105671	-0.071802
chr2L	21929216	21931459	-0.450809	-0.363011	-0.232947
chr2L	21931517	21934322	-0.288856	-0.449787	-0.203348
chr2L	21934324	21936264	-0.055969	-0.080017	-0.045119
chr2L	21936289	21938529	0.165066	0.180732	0.140883
chr2L	21938531	21940072	0.059641	0.116815	0.065040
chr2L	21940080	21942028	-0.236028	-0.408704	-0.190521
chr2L	21942045	21944105	-0.240075	-0.426281	-0.120584
chr2L	21944107	21946541	0.365013	0.162524	0.142303
chr2L	21946694	21948985	0.021286	0.064246	0.026971
chr2L	21949043	21950784	-0.068652	-0.201866	-0.062611
chr2L	21950791	21952983	0.656813	0.619608	0.494687
chr2L	21952989	21955577	0.115558	0.199128	0.132861
chr2L	21955773	21958831	-0.009880	-0.016154	-0.007591
chr2L	21958832	21961134	0.378345	0.402900	0.249043
chr2L	21961180	21964961	0.126735	0.139742	0.081803
chr2L	21965070	21967053	-0.032655	-0.079595	-0.033943
chr2L	21967246	21968912	0.021217	0.018653	0.014469
chr2L	21968927	21971731	-0.069987	-0.106055	-0.050884
chr2L	21971805	21974535	-0.416014	-0.832521	-0.313774
chr2L	21974587	21976143	0.250203	0.248434	0.171428
chr2L	21976155	21978141	0.115531	0.202691	0.120316
chr2L	21978440	21980611	0.293148	0.275035	0.165505
chr2L	21980661	21991758	-0.298466	-1.001195	-0.292698
chr2L	21991858	21995478	-0.072280	-0.176326	-0.073642
chr2L	21995558	21997471	-0.041006	-0.111094	-0.073334
chr2L	21997550	21999109	-0.483968	-0.947598	-0.266369
chr2L	21999168	22001181	0.017581	0.018009	0.012835
chr2L	22001210	22002929	-0.390068	-2.378929	-0.451487
chr2L	22003078	22004756	0.274003	0.257212	0.216657
chr2L	22004778	22005625	0.000279	0.000366	0.000279
chr2L	22005635	22008449	-0.346362	-0.456399	-0.183490
chr2L	22008471	22009685	-0.107213	-0.160732	-0.100035
chr2L	22009702	22010962	0.028364	0.033161	0.029768
chr2L	22010966	22012708	-0.102655	-0.102877	-0.071503
chr2L	22012771	22014205	0.328554	0.257755	0.225244
chr2L	22014247	22017087	0.026677	0.038915	0.021433
chr2L	22017089	22018467	0.068908	0.076872	0.045763
chr2L	22018483	22020550	-0.274121	-1.258786	-0.303556
chr2L	22020566	22022701	0.024539	0.041203	0.020391
chr2L	22022930	22025323	-0.069133	-0.091959	-0.052650
chr2L	22025628	22027375	-0.158184	-0.215250	-0.095784
chr2L	22027554	22029695	-0.093693	-0.324154	-0.092040
chr2L	22029703	22032244	-0.010323	-0.023289	-0.007560
chr2L	22032302	22034209	-0.190121	-0.438294	-0.123798
chr2L	22034370	22036903	0.218840	0.166941	0.124384
chr2L	22036906	22038132	0.134407	0.147752	0.111707
chr2L	22038384	22040594	0.015437	0.011629	0.009254
chr2L	22040599	22041513	-0.063151	-0.038379	-0.026479
chr2L	22041543	22043987	-0.222878	-0.265033	-0.145392
chr2L	22044174	22046844	-0.091345	-0.075379	-0.039127
chr2L	22046962	22048507	-0.109865	-0.582820	-0.129376
chr2L	22048632	22050017	0.051519	0.096729	0.028611
chr2L	22050032	22051953	0.459477	0.589811	0.407438
chr2L	22051979	22054186	0.174921	0.179945	0.085885
chr2L	22054276	22056413	0.064016	0.060034	0.049876
chr2L	22056602	22058586	-0.120088	-0.171506	-0.094055
chr2L	22058733	22059918	-0.400123	-0.423420	-0.261577
chr2L	22059919	22062056	0.043376	0.029864	0.016619
chr2L	22062076	22064840	-0.019936	-0.014893	-0.011459
chr2L	22064990	22066521	-0.064274	-0.056895	-0.035840
chr2L	22066525	22067462	-0.228397	-0.818295	-0.176289
chr2L	22067559	22068796	-0.129433	-0.228196	-0.135711
chr2L	22068821	22070790	-0.401393	-0.719285	-0.337745
chr2L	22070863	22071994	-0.337326	-1.481607	-0.430375
chr2L	22072002	22072874	0.026356	0.048920	0.034501
chr2L	22072905	22075201	-0.029232	-0.040785	-0.027654
chr2L	22075295	22077208	-0.201165	-0.270450	-0.153417
chr2L	22077305	22078863	-0.079702	-0.121515	-0.061411
chr2L	22078864	22080269	-0.498144	-0.776755	-0.352285
chr2L	22080674	22081627	0.120848	0.139548	0.088087
chr2L	22081941	22083904	-0.436645	-1.169629	-0.423275
chr2L	22083981	22086036	0.230428	0.171675	0.121678
chr2L	22086037	22087429	-0.168841	-0.121207	-0.075686
chr2L	22087431	22087858	-0.178311	-0.438116	-0.128071
chr2L	22087862	22088794	-0.095433	-0.133044	-0.089253
chr2L	22088845	22091662	0.296369	0.568424	0.241639
chr2L	22091720	22092826	-0.303510	-0.678791	-0.203870
chr2L	22092868	22095948	0.174096	0.430964	0.222527
chr2L	22095999	22098074	0.275240	0.423254	0.362194
chr2L	22098123	22101024	0.241208	0.257846	0.153141
chr2L	22101037	22102657	0.095234	0.191880	0.118793
chr2L	22102703	22103522	0.255804	0.420773	0.351012
chr2L	22103608	22104472	-0.477092	3.225638	-0.591916
chr2L	22104720	22107008	0.118922	0.078439	0.052974
chr2L	22107263	22110708	0.089200	0.127215	0.073703
chr2L	22111143	22113065	0.006820	0.005514	0.003369
chr2L	22113148	22113865	-0.219020	-0.389518	-0.107551
chr2L	22114365	22115790	-0.225709	-0.885267	-0.133031
chr2L	22115886	22116334	-0.080523	-0.166772	-0.091286
chr2L	22116428	22117666	-0.323134	-0.916362	-0.232202
chr2L	22117671	22119875	-0.340793	-5.308280	-0.116393
chr2L	22119877	22123298	-0.107458	-0.077239	-0.050655
chr2L	22123310	22125217	-0.067242	-0.072493	-0.038813
chr2L	22125348	22127753	-0.227033	-0.303259	-0.151480
chr2L	22127815	22130359	-0.448915	-2.029273	-0.367485
chr2L	22130388	22131694	-0.184865	-0.297068	-0.157846
chr2L	22131718	22134271	-0.142134	-0.265538	-0.156081
chr2L	22134657	22137204	0.045967	0.116329	0.061870
chr2L	22137205	22140216	0.130524	0.148153	0.090780
chr2L	22140276	22142774	-0.049513	-0.064819	-0.037267
chr2L	22142945	22147705	0.337234	0.254950	0.206791
chr2L	22147729	22151338	0.277962	0.172316	0.135545
chr2L	22151372	22153903	-0.062462	-0.083255	-0.050588
chr2L	22153905	22156490	0.280609	0.196803	0.148959
chr2L	22156511	22159223	-0.051503	-0.064271	-0.042302
chr2L	22159225	22160732	0.085826	0.107077	0.054287
chr2L	22161124	22165124	-0.031322	-0.040100	-0.015968
chr2L	22165241	22169911	0.116003	0.060313	0.040825
chr2L	22169977	22171822	0.202381	0.195171	0.143856
chr2L	22172096	22174238	0.118670	0.127375	0.088076
chr2L	22174467	22177866	-0.183859	-0.198931	-0.151511
chr2L	22178060	22179209	0.130340	0.236755	0.144406
chr2L	22179312	22181349	-0.154802	-0.252463	-0.108037
chr2L	22181381	22184328	0.027516	0.027720	0.018899
chr2L	22184340	22185475	0.519375	0.407168	0.231016
chr2L	22185642	22189044	-0.130877	-0.168535	-0.058599
chr2L	22189249	22191263	0.039296	0.049415	0.019556
chr2L	22191296	22195739	0.059625	0.080910	0.056341
chr2L	22195807	22198108	-0.118660	-0.136706	-0.093519
chr2L	22198247	22199299	-0.376651	-0.928900	-0.335326
chr2L	22199343	22200233	0.030418	0.067589	0.044950
chr2L	22200341	22207465	-0.070023	-0.179772	-0.107268
chr2L	22207489	22211830	0.104936	0.115901	0.082690
chr2L	22211870	22216230	0.244981	0.281178	0.238730
chr2L	22216299	22218412	0.081054	0.102430	0.061413
chr2L	22218417	22219036	-0.252147	-0.424694	-0.224425
chr2L	22219172	22221521	0.481851	0.513893	0.397132
chr2L	22221711	22222385	-0.103418	-0.355948	-0.109368
chr2L	22222603	22223833	0.439218	0.447125	0.318855
chr2L	22223916	22225307	0.106526	0.147169	0.073960
chr2L	22225309	22227330	0.335578	0.339533	0.261014
chr2L	22227378	22229287	0.490521	0.524307	0.492470
chr2L	22229325	22230852	-0.105678	-0.154880	-0.106805
chr2L	22230878	22233349	0.222065	0.285436	0.242175
chr2L	22233426	22236747	-0.325464	-0.561516	-0.297347
chr2L	22236748	22237668	0.245505	0.241364	0.213263
chr2L	22237680	22239926	-0.094438	-0.285769	-0.132019
chr2L	22240045	22243329	0.076346	0.131146	0.075346
chr2L	22243331	22249578	-0.129816	-0.507316	-0.129623
chr2L	22249589	22252128	-0.258073	-1.851136	-0.280853
chr2L	22252177	22255007	0.269444	0.393029	0.268080
chr2L	22255188	22260791	-0.002617	-0.005713	-0.002464
chr2L	22260923	22264638	-0.039995	-0.165333	-0.038817
chr2L	22264651	22266064	-0.024413	-0.082773	-0.029741
chr2L	22266091	22268021	-0.206012	-1.166566	-0.227474
chr2L	22268117	22268896	0.270782	0.420784	0.321802
chr2L	22268908	22271169	0.142415	0.275012	0.121347
chr2L	22271170	22272893	0.172134	0.407362	0.166361
chr2L	22273103	22273676	0.471314	0.573627	0.426196
chr2L	22273691	22274795	-0.227419	-0.284065	-0.093338
chr2L	22274814	22275713	-0.117952	-0.394706	-0.163039
chr2L	22275731	22278714	0.548187	0.378596	0.328776
chr2L	22279145	22280031	-0.246492	-1.412581	-0.350721
chr2L	22280080	22281428	0.158275	0.389579	0.253007
chr2L	22281491	22282561	-0.005873	-0.068171	-0.008650
chr2L	22282634	22284333	-0.024129	-0.093062	-0.042052
chr2L	22284431	22286028	0.350671	0.544134	0.304748
chr2L	22286090	22287640	0.009493	0.025002	0.013635
chr2L	22287684	22289127	0.006335	0.014414	0.010021
chr2L	22289195	22291301	-0.095211	-0.038141	-0.028742
chr2L	22291829	22294001	0.230673	0.315312	0.193190
chr2L	22294070	22297166	0.037489	0.069006	0.038730
chr2L	22297197	22299333	-0.208278	-1.845453	-0.222269
chr2L	22299412	22300748	0.409011	0.624007	0.495005
chr2L	22300967	22305057	0.190334	0.197825	0.126450
chr2L	22305438	22306581	0.248023	0.359060	0.291465
chr2L	22306613	22308835	-0.024443	-0.074379	-0.032301
chr2L	22309049	22311431	-0.301060	-0.758817	-0.279537
chr2L	22311571	22313492	-0.062410	-0.092134	-0.041982
chr2L	22313540	22316546	-0.574055	-3.659519	-0.465035
chr2L	22316551	22318432	-0.505015	-1.402101	-0.534610
chr2L	22318990	22323105	-0.058203	-0.100477	-0.047917
chr2L	22323232	22327903	-0.433821	9.624523	-0.306641
chr2L	22328149	22330465	-0.257055	-0.390710	-0.209682
chr2L	22330556	22332424	0.114621	0.309772	0.178568
chr2L	22332717	22334218	0.059327	0.119914	0.081365
chr2L	22334247	22335994	0.101027	0.122560	0.082767
chr2L	22338437	22343092	0.257217	0.184904	0.166406
chr2L	22344661	22347838	0.491709	0.341096	0.312678
chr2L	22347867	22349301	0.325969	0.352829	0.262301
chr2L	22349318	22350148	0.624557	0.482637	0.418881
chr2L	22350212	22357684	-0.122063	-0.143699	-0.085082
chr2L	22357932	22359550	-0.013758	-0.016471	-0.010051
chr2L	22359583	22362372	0.197591	0.182935	0.160861
chr2L	22363318	22369419	-0.014289	-0.018060	-0.015482
chr2L	22369443	22370386	0.408239	0.272373	0.250179
chr2L	22370917	22372804	0.534026	0.485240	0.389174
chr2L	22372852	22375141	0.195388	0.119781	0.085675
chr2L	22375452	22382039	0.466663	0.283499	0.267483
chr2L	22382279	22389109	0.763851	0.427692	0.386564
chr2L	22389140	22390728	0.121544	0.240216	0.181859
chr2L	22390816	22394685	0.334489	0.347918	0.258349
chr2L	22394757	22396076	-0.032736	-0.076581	-0.045973
chr2L	22396079	22397658	0.007271	0.012784	0.009570
chr2L	22397705	22399453	0.264902	0.320936	0.279352
chr2L	22399486	22399955	-0.375402	-3.436488	-0.514587
chr2L	22399983	22402457	0.651564	0.467495	0.447891
chr2L	22402507	22402906	0.026234	0.072799	0.050648
chr2L	22402912	22403051	-0.046879	-0.309523	-0.140240
chr2L	22403098	22403303	0.169009	0.570034	0.513791
chr2L	22403321	22403902	-0.344097	-2.581762	-0.383200
chr2L	22403953	22404418	-0.124761	-1.233978	-0.249440
chr2L	22404422	22404778	-0.099587	-7.166147	-0.340936
chr2L	22404780	22405053	-0.232352	-1.031936	-0.460293
chr2L	22405067	22405603	-0.527451	2.650605	-0.550161
chr2L	22405625	22407014	-0.010419	-0.007561	-0.006114
chr2L	22407026	22407239	-0.031656	-0.069063	-0.045759
chr2L	22407249	22407908	0.397165	0.626489	0.434975
chr2L	22408204	22409582	-0.042840	-0.155688	-0.051322
chr2L	22409869	22411941	-0.318187	-1.004922	-0.227871
chr2L	22413808	22463049	-0.578924	-5.563775	-0.413589
chr2L	22476885	22488346	0.096625	0.066001	0.049950
chr2L	22488793	22501721	-0.525277	30.425642	-0.475333
chr2L	22503104	22506110	0.066089	0.124064	0.076848
chr2L	22506215	22507253	0.010218	0.040143	0.025170
chr2L	22507474	22510566	-0.171739	-0.187118	-0.112106
chr2L	22510570	22513375	0.112295	0.128448	0.087683
chr2L	22513470	22516506	-0.309895	-0.404580	-0.249724
chr2L	22517887	22523992	-0.411970	-0.651378	-0.239370
chr2L	22523994	22526567	0.063500	0.050634	0.037356
chr2L	22526630	22529383	-0.080755	-0.055158	-0.039621
chr2L	22529489	22535233	-0.092936	-0.208660	-0.108068
chr2L	22535340	22542037	-0.057127	-0.023319	-0.017736
chr2L	22542048	22542417	0.016459	0.045711	0.024670
chr2L	22542552	22545017	-0.009246	-0.018441	-0.007366
chr2L	22545071	22550157	-0.125872	-0.206928	-0.074400
chr2L	22550259	22554450	0.002367	0.004952	0.003638
chr2L	22554611	22555748	-0.103991	-0.853805	-0.172905
chr2L	22555775	22559445	0.215922	0.160420	0.149682
chr2L	22560273	22563449	-0.367589	3.557667	-0.643009
chr2L	22563466	22572019	-0.000722	-0.001547	-0.000784
chr2L	22572044	22576342	0.050624	0.099141	0.060466
chr2L	22576502	22579086	-0.111093	-1.017226	-0.177694
chr2L	22579148	22584711	-0.019240	-0.025752	-0.014414
chr2L	22584934	22587618	-0.120375	-0.257283	-0.113743
chr2L	22587833	22589125	-0.027173	-0.050016	-0.029315
chr2L	22589205	22591066	-0.299300	1.278896	-0.339206
chr2L	22591088	22597242	-0.210679	-0.545745	-0.272175
chr2L	22597246	22599878	-0.333220	-1.041996	-0.437683
chr2L	22599903	22604493	-0.308726	-0.383712	-0.247250
chr2L	22605539	22623475	0.240164	0.338120	0.163826
chr2L	22623899	22627126	-0.026794	-0.033191	-0.025779
chr2L	22627144	22630521	-0.128293	-0.118025	-0.080252
chr2L	22630554	22632577	-0.462535	-0.157395	-0.120307
chr2L	22632646	22634658	0.217311	0.335099	0.244031
chr2L	22634663	22637710	-0.059404	-0.102988	-0.061285
chr2L	22638128	22639366	0.147903	0.310992	0.161700
chr2L	22639435	22642628	-0.189455	-0.272351	-0.131087
chr2L	22642677	22647365	0.127850	0.057638	0.044710
chr2L	22647381	22648396	-0.335889	-0.785902	-0.311755
chr2L	22648640	22655636	-0.182423	-0.461940	-0.228504
chr2L	22655638	22656989	-0.320858	-0.529295	-0.258079
chr2L	22657034	22658867	0.490264	0.353582	0.221456
chr2L	22658876	22660303	-0.415445	-0.611491	-0.284631
chr2L	22660398	22662873	-0.111070	-0.097492	-0.052420
chr2L	22663001	22664024	-0.344023	-0.198807	-0.144620
chr2L	22664026	22664749	-0.033293	-0.044221	-0.032089
chr2L	22664756	22666247	0.137269	0.117530	0.075378
chr2L	22666291	22669091	0.170519	0.229201	0.161016
chr2L	22669262	22671670	0.083647	0.150170	0.095697
chr2L	22671683	22673820	0.209942	0.193552	0.128378
chr2L	22673861	22677766	-0.288732	-0.414506	-0.223485
chr2L	22677794	22684681	-0.427794	-0.822012	-0.346101
chr2L	22684707	22687147	0.087298	0.053276	0.036505
chr2L	22687162	22691345	0.098532	0.097886	0.025291
chr2L	22691387	22698810	0.318329	0.153438	0.105067
chr2L	22699101	22701828	-0.429768	-0.268565	-0.078258
chr2L	22701837	22704718	0.299471	0.232590	0.102968
chr2L	22704908	22706942	-0.542720	-1.437860	-0.319313
chr2L	22706968	22709140	-0.373531	-0.416723	-0.218284
chr2L	22709166	22710284	0.188047	0.105404	0.085672
chr2L	22710432	22711090	0.080270	0.061081	0.053629
chr2L	22711093	22712041	0.010385	0.009912	0.006777
chr2L	22712285	22717274	-0.161392	-0.085765	-0.036091
chr2L	22717403	22722601	-0.186678	-0.180698	-0.094052
chr2L	22722675	22724052	0.038815	0.028334	0.018825
chr2L	22724058	22726221	0.338098	0.362631	0.181591
chr2L	22726277	22730080	-0.106962	-0.046515	-0.035085
chr2L	22730092	22734628	0.215204	0.111074	0.062706
chr2L	22734869	22739991	0.034895	0.039154	0.018635
chr2L	22740020	22741398	-0.021434	-0.055263	-0.027998
chr2L	22741436	22745578	0.055274	0.119114	0.037060
chr2L	22745652	22752605	-0.237579	-0.503274	-0.171538
chr2L	22752735	22757288	0.538173	0.537974	0.335289
chr2L	22759012	22766352	0.370843	0.232907	0.158153
chr2L	22766632	22779999	-0.206412	-0.144990	-0.107108
chr2L	22780000	22782292	0.202176	0.220146	0.134674
chr2L	22782358	22783319	0.690943	0.699649	0.688732
chr2L	22783327	22784453	-0.198789	-0.178408	-0.106002
chr2L	22784477	22793000	0.133433	0.171761	0.093953
chr2L	22793168	22800307	0.390421	0.228499	0.193623
chr2L	22800894	22809105	0.146286	0.104020	0.075843
chr2L	22809251	22825253	-0.214639	-0.193860	-0.128303
chr2L	22826849	22849516	-0.383615	-0.851592	-0.334367
chr2L	22849776	22859957	-0.108023	-0.180474	-0.098406
chr2L	22860208	22871694	0.477386	0.396314	0.382749
chr2L	22871780	22891329	0.316120	0.337670	0.252728
chr2L	22891413	22910276	0.425799	0.361317	0.288232
chr2L	22910668	22914495	0.292429	0.184385	0.154817
chr2L	22914609	22916960	0.017359	0.054434	0.022364
chr2L	22917321	22921739	0.068436	0.063852	0.033160
chr2L	22921800	22926630	-0.231428	-0.267898	-0.147897
chr2L	22926642	22932166	-0.245909	-0.388836	-0.174179
chr2L	22932411	22940330	0.033699	0.047794	0.024867
chr2L	22940390	22947945	0.250812	0.243455	0.165757
chr2L	22948410	22951608	0.136817	0.131661	0.089619
chr2L	22951644	22959444	-0.058991	-0.089244	-0.047230
chr2L	22959458	22961250	-0.420430	-0.421910	-0.228088
chr2L	22961285	22963204	-0.522441	-1.315589	-0.434124
chr2L	22963286	22965221	0.423148	0.360172	0.210801
chr2L	22965341	22969507	-0.235966	-0.307586	-0.106413
chr2L	22969532	22974589	-0.310287	-0.180265	-0.090829
chr2L	22975172	22979617	-0.251162	-0.288012	-0.142389
chr2L	22979634	22983745	0.271257	0.358532	0.253926
chr2L	22984106	22985062	-0.251911	-0.760096	-0.267059
chr2L	22985240	22988684	0.141537	0.084900	0.065515
chr2L	22989307	22993550	-0.231777	-0.296640	-0.103788
chr2L	22993802	23004475	-0.034282	-0.023293	-0.013418
chr2L	23004562	23015167	-0.485230	-0.802497	-0.215695
chr2L	23015370	23018817	-0.377984	-1.356477	-0.327826
chr2L	23018845	23019748	-0.228637	-0.623455	-0.199570
chr2L	23019767	23020589	0.408732	0.530617	0.434219
chr2L	23020593	23024318	-0.424145	-0.569026	-0.205390
chr2L	23024701	23029300	-0.126883	-0.188817	-0.096384
chr2L	23030142	23036861	-0.472513	-2.643529	-0.504083
chr2L	23037089	23040283	-0.155696	-0.232119	-0.133896
chr2L	23040349	23042950	-0.237042	-0.319373	-0.172655
chr2L	23043080	23045298	-0.372669	-1.324088	-0.422747
chr2L	23045301	23047611	-0.152902	-0.196384	-0.118043
chr2L	23047684	23049480	-0.346557	-0.748913	-0.357525
chr2L	23049531	23053696	-0.166827	-0.268926	-0.154584
chr2L	23053707	23054344	-0.310021	-0.681681	-0.275516
chr2L	23054359	23055495	-0.251138	-0.350340	-0.148245
chr2L	23055496	23056892	-0.558663	-1.828792	-0.531961
chr2L	23057044	23064383	-0.499546	-1.522427	-0.543126
chr2L	23065016	23074554	-0.105370	-0.109242	-0.067287
chr2L	23074906	23084519	-0.456701	-1.515608	-0.428197
chr2L	23085005	23086118	-0.216939	-0.418146	-0.185735
chr2L	23086141	23086357	-0.265323	-1.527445	-0.438006
chr2L	23086368	23086925	-0.134047	-0.770950	-0.223852
chr2L	23086978	23087218	-0.133726	-0.894468	-0.260440
chr2L	23087219	23087400	-0.571603	-9.265011	-0.600862
chr2L	23087433	23087891	-0.049553	-0.074868	-0.052212
chr2L	23088059	23088917	-0.122581	-0.206454	-0.122590
chr2L	23088940	23089263	-0.059157	-0.309466	-0.139579
chr2L	23089297	23089783	-0.358578	-0.786961	-0.333566
chr2L	23089790	23090194	-0.209977	-0.556584	-0.294552
chr2L	23090271	23090700	-0.007801	-0.034529	-0.019655
chr2L	23090704	23091142	-0.106506	-0.543931	-0.256696
chr2L	23091144	23093633	0.801963	0.619496	0.586627
chr2L	23093644	23099794	-0.392878	-0.331568	-0.239761
chr2L	23099801	23100878	-0.183421	-0.494143	-0.165669
chr2L	23101369	23123244	0.774519	0.301514	0.295906
chr2L	23123312	23128849	0.238868	0.255692	0.189591
chr2L	23129051	23129902	-0.125238	-0.422104	-0.158417
chr2L	23129927	23130540	-0.207332	-0.478184	-0.250164
chr2L	23130554	23133519	-0.411853	-2.074737	-0.636636
chr2L	23133530	23135654	-0.251598	-0.523925	-0.254613
chr2L	23135698	23137944	-0.127286	-0.221870	-0.122625
chr2L	23137950	23154169	-0.500205	-1.473566	-0.495079
chr2L	23154219	23161446	-0.162177	-0.289709	-0.164078
chr2L	23161834	23164284	-0.256607	-0.386605	-0.227082
chr2L	23164288	23170200	0.010243	0.014383	0.009287
chr2L	23170210	23171936	0.496692	0.485740	0.447103
chr2L	23171948	23177405	-0.396884	-0.915908	-0.385879
chr2L	23177738	23180903	0.542590	0.467860	0.422571
chr2L	23180916	23187268	0.285888	0.258050	0.162851
chr2L	23187430	23189675	0.554479	0.367494	0.311719
chr2L	23189730	23191537	0.274431	0.436261	0.389406
chr2L	23191539	23191994	0.200326	0.626388	0.448587
chr2L	23192005	23193441	0.103420	0.158647	0.119683
chr2L	23193481	23197509	0.379348	0.693677	0.637635
chr2L	23197553	23197865	0.167938	0.342955	0.187365
chr2L	23197870	23215180	0.333658	0.660710	0.475482
chr2L	23215199	23218026	0.110554	0.207658	0.108392
chr2L	23218214	23221764	0.628870	0.725490	0.679048
chr2L	23221785	23223497	0.246510	0.451200	0.300675
chr2L	23223526	23225894	0.193117	0.518930	0.222847
chr2L	23225946	23229131	0.189299	0.300106	0.209997
chr2L	23229521	23230230	0.226538	0.600043	0.388868
